price_date,o_meat_beef,h_meat_beef,l_meat_beef,c_meat_beef,inflation_meat_beef
2007-01-01,123391.49250000001,124019.39823529412,122847.68926470588,123438.42411764705,-0.3135592931925134
2007-02-01,123480.51220588235,124072.3544117647,122832.17573529412,123280.63176470587,-0.4278656174433272
2007-03-01,123338.5775,123925.93235294118,122736.82338235294,123242.80455882353,-0.43854679935808977
2007-04-01,123301.77220588236,123919.20367647058,122733.64,123501.78014705883,-0.13888906437072795
2007-05-01,123537.1619117647,124185.29926470587,122983.1825,123851.26647058822,-0.0896687829856434
2007-06-01,123891.25661764704,124454.66750000001,123314.72897058824,123910.78602941176,-0.25677303718868755
2007-07-01,123972.82823529412,124548.34176470588,123432.02661764706,124114.35676470588,-0.07863512688174455
2007-08-01,124138.06779411764,124677.68397058823,123534.3611764706,123963.7369117647,-0.3445186781336013
2007-09-01,124022.30676470588,124592.01294117648,123483.33955882353,124177.2469117647,-0.11205127433366159
2007-10-01,124207.05661764706,124793.37264705882,123662.8830882353,124272.13838235295,-0.13776899350874117
2007-11-01,124302.59852941176,124883.11661764706,123690.16970588233,124178.3536764706,-0.24781830766370483
2007-12-01,124232.72044117647,124853.54044117648,123592.53294117647,124221.11338235295,-0.26301758483092963
2008-01-01,124275.89338235294,124872.06838235294,123294.68838235294,123603.15411764706,0.1404411764705882
2008-02-01,123729.82573529413,124823.74970588236,123049.31470588235,124590.54705882352,1.0645588235294117
2008-03-01,124549.64191176472,125312.6469117647,123829.89676470589,124761.5813235294,1.233970588235294
2008-04-01,124806.39529411765,125467.55588235296,124208.59102941176,124960.73294117647,1.178235294117647
2008-05-01,125000.70926470589,125623.21102941176,124393.84500000002,124947.13088235294,0.8854411764705883
2008-06-01,124994.5586764706,125578.68985294118,124424.63588235294,125128.6513235294,0.9798529411764705
2008-07-01,125168.2088235294,125744.95676470589,124645.5319117647,125373.9530882353,1.009264705882353
2008-08-01,125384.66794117646,125923.97029411765,124841.3988235294,125444.80235294119,1.1877941176470588
2008-09-01,125484.30191176469,126004.37852941177,124970.38176470589,125506.81897058823,1.0642647058823531
2008-10-01,125537.9119117647,126071.45838235294,124885.35073529411,125287.91647058824,0.8182352941176471
2008-11-01,125350.4975,125885.53073529412,123891.94705882354,123935.84897058824,-0.1923529411764706
2008-12-01,124069.85455882351,124887.0444117647,123290.11661764706,124358.85044117647,0.11088235294117647
2009-01-01,124367.2155882353,124944.65926470589,123789.32029411764,124366.44014705882,0.6192647058823529
2009-02-01,124430.87441176469,124975.60897058823,123684.88220588236,123946.17676470587,-0.5123529411764707
2009-03-01,124052.8548529412,124623.78705882352,123425.45441176472,123834.59544117647,-0.7339705882352942
2009-04-01,123913.05485294119,124720.2688235294,123386.01220588235,124532.30102941177,-0.3376470588235294
2009-05-01,124544.47117647057,125349.49205882351,123948.03338235294,125063.30294117646,0.09602941176470588
2009-06-01,125094.14720588236,125665.05720588236,124532.43955882353,125173.26573529412,0.04147058823529412
2009-07-01,125230.47558823529,125731.68264705883,124732.8988235294,125280.81838235294,-0.06573529411764707
2009-08-01,125314.78676470589,125781.63249999999,124837.5238235294,125321.01661764707,-0.09588235294117646
2009-09-01,125355.91294117647,125856.08147058825,124851.74764705882,125364.0525,-0.10720588235294118
2009-10-01,125389.10602941178,125962.65323529411,124885.14735294117,125543.6930882353,0.19999999999999998
2009-11-01,125569.23852941177,126064.50676470589,125045.98279411765,125517.91205882352,1.2736764705882353
2009-12-01,125556.43514705882,126037.74735294118,125033.98029411765,125414.7382352941,0.8486764705882353
2010-01-01,125468.57588235295,125948.85882352942,124941.3611764706,125409.15029411766,0.84
2010-02-01,125446.12558823529,125918.68014705883,124899.52705882353,125236.1555882353,1.039264705882353
2010-03-01,125308.93264705883,125813.91838235293,124807.1694117647,125295.82352941176,1.1761764705882354
2010-04-01,125352.49470588236,125871.99294117646,124870.59632352942,125453.57852941177,0.7436764705882353
2010-05-01,125507.62088235295,125982.66352941176,124874.1594117647,125146.04926470587,0.07117647058823529
2010-06-01,125232.0430882353,125782.92911764706,124675.62720588235,125277.96058823529,0.08411764705882352
2010-07-01,125313.94676470589,125856.16411764706,124783.81279411764,125330.50897058823,0.04397058823529412
2010-08-01,125402.32176470589,125897.0267647059,124868.82999999999,125327.94470588236,0.013823529411764702
2010-09-01,125399.87617647059,125890.58411764707,124871.72220588234,125326.81205882353,-0.023235294117647062
2010-10-01,125366.76764705882,125854.4569117647,124869.19220588235,125370.885,-0.1313235294117647
2010-11-01,125423.92676470587,125923.8780882353,124933.85044117647,125450.41044117647,-0.050588235294117656
2010-12-01,125503.74808823528,126022.0955882353,124996.37426470587,125539.1055882353,0.09911764705882352
2011-01-01,125594.9975,126087.93308823528,125020.31029411765,125405.97897058824,-0.0017647058823529428
